"GOID"	"Term"	"Ontology"	"p 5' UTR"	"median 5' UTR"	"p 3' UTR"	"median 3' UTR"	"nrGenes"
"GO:0016896"	"exoribonuclease activity, producing 5'-phosphomonoesters"	"MF"	0.752215494093141	65	0.00108815009446661	37	15
"GO:0000375"	"RNA splicing, via transesterification reactions"	"BP"	0.00117138641475867	45	0.322003699685364	88	37
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	0.00126419223515042	164	0.214497565869689	165	13
"GO:0000082"	"G1/S transition of mitotic cell cycle"	"BP"	0.0247511961695052	130	0.00127913629277755	158	13
"GO:0006810"	"transport"	"BP"	0.00131018304360809	76.5	0.968407938070329	90.5	352
"GO:0006461"	"protein complex assembly"	"BP"	0.00150081274536684	54	0.128816824226585	84	53
"GO:0000271"	"polysaccharide biosynthesis"	"BP"	0.00167135359818321	178.5	0.806771689467674	85.5	8
"GO:0043284"	"biopolymer biosynthesis"	"BP"	0.00167135359818321	178.5	0.806771689467674	85.5	8
"GO:0000902"	"cellular morphogenesis"	"BP"	0.0017090524648145	90	0.196493319494497	109	45
"GO:0008092"	"cytoskeletal protein binding"	"MF"	0.00179422828453002	45	0.869444935460161	90.5	16
"GO:0030234"	"enzyme regulator activity"	"MF"	0.00180971510407820	89.5	0.0899911136657	110.5	68
"GO:0044238"	"primary metabolism"	"BP"	0.00202982405894425	65	0.00183965056469337	87	1037
"GO:0009653"	"morphogenesis"	"BP"	0.00183972079453000	90	0.188226617588475	108	47
"GO:0005386"	"carrier activity"	"MF"	0.115477518816238	72.5	0.00185972439190254	129	40
